Index,Tipo,Quantita,Rumore,Neuroni,Matrice,Epoche,Output,FID_Totale,FID_Relativo,Precisione,Richiamo,Densita,Copertura,Batch
0,uguali,10.0,False,5,greg,3000,64,6.774472351751475,10.988648900401984,0.59375,0.0,0.278125,0.0125,
1,uguali,10.0,False,9,greg,3000,64,3.618066729337792,6.815391876220366,0.53125,0.0,0.3375,0.0225,
2,uguali,10.0,False,13,greg,3000,64,3.115769101043876,6.051596915702336,0.453125,0.0,0.215625,0.02,
3,uguali,10.0,False,17,greg,3000,64,2.8670022052541952,5.679573035134157,0.453125,0.0,0.209375,0.015,
4,uguali,10.0,False,21,greg,3000,64,2.78927329814576,5.576486884463848,0.578125,0.0,0.5593750000000001,0.0175,
5,uguali,10.0,False,5,greg,3000,64,5.005489716333027,3.9288240708882127,0.125,0.0275,0.05625,0.015,
6,uguali,10.0,False,9,greg,3000,64,3.429108036639444,2.3889440913103988,0.25,0.0025,0.209375,0.0175,
7,uguali,10.0,False,13,greg,3000,64,3.338457104623071,2.2426258600553983,0.34375,0.0,0.14375,0.0125,
8,uguali,10.0,False,17,greg,3000,64,3.116403893033664,2.0293592814712538,0.15625,0.0,0.075,0.0075,
9,uguali,10.0,False,21,greg,3000,64,2.9000001153224093,1.8284166421842565,0.1875,0.0,0.078125,0.01,
10,uguali,10.0,False,5,greg,3000,64,4.992035466522161,6.325682602186982,0.0,0.045,0.0,0.0,
11,uguali,10.0,False,9,greg,3000,64,3.2936687820115,4.310430138309707,0.046875,0.005,0.025,0.0075,
12,uguali,10.0,False,13,greg,3000,64,2.84949237882799,3.675590576949325,0.234375,0.0,0.059375,0.005,
13,uguali,10.0,False,17,greg,3000,64,2.8681099672676065,3.673875803877512,0.015625,0.0,0.003125,0.0025,
14,uguali,10.0,False,21,greg,3000,64,2.79211401820526,3.536728671955682,0.078125,0.0,0.0375,0.0075,
15,uguali,10.0,False,5,greg,3000,64,7.647067362151341,7.683152623714499,0.0,0.005,0.0,0.0,
16,uguali,10.0,False,9,greg,3000,64,3.968592665859382,4.118719999270913,0.078125,0.0175,0.034375,0.01,
17,uguali,10.0,False,13,greg,3000,64,3.130907423088095,3.3040878376256813,0.15625,0.0,0.0375,0.0075,
18,uguali,10.0,False,17,greg,3000,64,2.9140713088841257,3.093264490964484,0.0,0.0,0.0,0.0,
19,uguali,10.0,False,21,greg,3000,64,2.694321441536077,2.880073709693824,0.03125,0.0,0.0125,0.0075,
20,uguali,10.0,False,5,greg,3000,64,3.2418882665025555,5.418819224794289,0.0,0.045,0.0,0.0,
21,uguali,10.0,False,9,greg,3000,64,2.857450272688056,4.725698878429491,0.078125,0.015,0.01875,0.0075,
22,uguali,10.0,False,13,greg,3000,64,2.310324625615813,3.910327833794688,0.046875,0.0,0.009375,0.0025,
23,uguali,10.0,False,17,greg,3000,64,2.266458860856585,3.853990470482384,0.0,0.0,0.0,0.0,
24,uguali,10.0,False,21,greg,3000,64,2.0661073565348915,3.554212775758565,0.0,0.05,0.0,0.0,
25,diversi,10.0,False,5,greg,3000,64,11.258757933802883,-100.0,0.25,0.0,0.1,0.015,
26,diversi,10.0,False,9,greg,3000,64,5.86907781930485,-100.0,0.1875,0.01,0.146875,0.0175,
27,diversi,10.0,False,13,greg,3000,64,4.162165683147564,-100.0,0.46875,0.0,0.265625,0.0225,
28,diversi,10.0,False,17,greg,3000,64,3.3549461787911112,-100.0,0.3125,0.0025,0.10625,0.015,
29,diversi,10.0,False,21,greg,3000,64,2.836791771027075,-100.0,0.59375,0.0,0.3,0.02,
30,diversi,10.0,False,5,greg,3000,64,13.830649176934813,-100.0,0.125,0.035,0.040625,0.0125,
31,diversi,10.0,False,9,greg,3000,64,7.1213530540333405,-100.0,0.046875,0.025,0.046875,0.0125,
32,diversi,10.0,False,13,greg,3000,64,4.971859245386312,-100.0,0.25,0.015,0.071875,0.0225,
33,diversi,10.0,False,17,greg,3000,64,3.739641773324759,-100.0,0.0625,0.0,0.01875,0.0075,
34,diversi,10.0,False,21,greg,3000,64,3.1352133542843035,-100.0,0.3125,0.005,0.103125,0.0175,
35,diversi,10.0,False,5,greg,3000,64,11.410228380646547,-100.0,0.015625,0.01,0.003125,0.0025,
36,diversi,10.0,False,9,greg,3000,64,5.843466519356406,-100.0,0.015625,0.045,0.00625,0.005,
37,diversi,10.0,False,13,greg,3000,64,4.562656726545975,-100.0,0.21875,0.0125,0.06875,0.015,
38,diversi,10.0,False,17,greg,3000,64,3.4868608746516534,-100.0,0.015625,0.0,0.003125,0.0025,
39,diversi,10.0,False,21,greg,3000,64,3.1131875808023994,-100.0,0.046875,0.0125,0.009375,0.0025,
40,diversi,10.0,False,5,greg,3000,64,9.103932527757104,-100.0,0.015625,0.1925,0.003125,0.0025,
41,diversi,10.0,False,9,greg,3000,64,4.6632082121944585,-100.0,0.015625,0.035,0.015625,0.0125,
42,diversi,10.0,False,13,greg,3000,64,3.6266682961636008,-100.0,0.046875,0.005,0.009375,0.0025,
43,diversi,10.0,False,17,greg,3000,64,3.223072160764106,-100.0,0.0,0.0275,0.0,0.0,
44,diversi,10.0,False,21,greg,3000,64,2.9123366004328566,-100.0,0.0625,0.0025,0.0125,0.005,
45,diversi,10.0,False,5,greg,3000,64,9.300579596402606,-100.0,0.0,0.0,0.0,0.0,
46,diversi,10.0,False,9,greg,3000,64,3.461954263024849,-100.0,0.0,0.0,0.0,0.0,
47,diversi,10.0,False,13,greg,3000,64,2.222402784933326,-100.0,0.09375,0.0,0.01875,0.0025,
48,diversi,10.0,False,17,greg,3000,64,2.001658139625884,-100.0,0.0,0.0225,0.0,0.0,
49,diversi,10.0,False,21,greg,3000,64,1.6058762969844276,-100.0,0.015625,0.0,0.003125,0.0025,
50,2persone,20.0,False,10,greg,3000,64,3.518205033483633,4.441406046305092,0.0,0.0,0.0,0.0,
51,2persone,20.0,False,20,greg,3000,64,3.6080225611190415,4.540957855563885,0.140625,0.0,0.034375,0.0075,
52,2persone,20.0,False,30,greg,3000,64,3.377976385462627,4.273301009825401,0.015625,0.0225,0.003125,0.0025,
